+------------+--------+-------------+----------+
| tournament | player | prize_money | position |
|        129 |      2 |        NULL |       15 |
|        129 |      3 |        NULL |       37 |
|        129 |      5 |        NULL |        9 |
|        129 |      8 |        NULL |       13 |
|        129 |      9 |        NULL |       33 |
|        129 |     11 |        NULL |       25 |
|        129 |     12 |        NULL |       29 |
|        129 |     13 |        NULL |        2 |
|        129 |     14 |        NULL |        5 |
|        129 |     15 |        NULL |       19 |
|        129 |     16 |        NULL |        3 |
|        129 |     17 |        NULL |        4 |
|        129 |     19 |        NULL |       12 |
|        129 |     24 |        NULL |       20 |
|        129 |     28 |        NULL |        1 |
|        129 |     29 |        NULL |       28 |
|        129 |     30 |        NULL |       45 |
|        129 |     31 |        NULL |       51 |
|        129 |     32 |        NULL |       22 |
|        129 |     33 |        NULL |       27 |
|        129 |     34 |        NULL |       26 |
|        129 |     35 |        NULL |       23 |
|        129 |     38 |        NULL |       14 |
|        129 |     39 |        NULL |       56 |
|        129 |     42 |        NULL |        8 |
|        129 |     43 |        NULL |        7 |
|        129 |     44 |        NULL |       16 |
|        129 |     46 |        NULL |        6 |
|        129 |     49 |        NULL |       38 |
|        129 |     54 |        NULL |       10 |
|        129 |     56 |        NULL |       18 |
|        129 |     59 |        NULL |       48 |
|        129 |     62 |        NULL |       24 |
|        129 |     65 |        NULL |       59 |
|        129 |     69 |        NULL |       60 |
|        129 |     81 |        NULL |       53 |
|        129 |     82 |        NULL |       36 |
|        129 |     84 |        NULL |       62 |
|        129 |     85 |        NULL |       50 |
|        129 |     98 |        NULL |       34 |
|        129 |    100 |        NULL |       44 |
|        129 |    105 |        NULL |       30 |
|        129 |    106 |        NULL |       21 |
|        129 |    112 |        NULL |       61 |
|        129 |    113 |        NULL |       35 |
|        129 |    114 |        NULL |       39 |
|        129 |    116 |        NULL |       17 |
|        129 |    132 |        NULL |       52 |
|        129 |    134 |        NULL |       63 |
|        129 |    136 |        NULL |       41 |
|        129 |    139 |        NULL |       31 |
|        129 |    142 |        NULL |       49 |
|        129 |    195 |        NULL |       54 |
|        129 |    229 |        NULL |       57 |
|        129 |    236 |        NULL |       42 |
|        129 |    254 |        NULL |       47 |
|        129 |    339 |        NULL |       40 |
|        129 |    371 |        NULL |       55 |
|        129 |    482 |        NULL |       43 |
|        129 |    517 |        NULL |       46 |
|        129 |   1507 |        NULL |       58 |
|        130 |      1 |        NULL |       32 |
|        130 |      2 |        NULL |       19 |
|        130 |      4 |        NULL |        4 |
|        130 |      5 |        NULL |       27 |
|        130 |      6 |        NULL |        7 |
|        130 |      8 |        NULL |        9 |
|        130 |      9 |        NULL |       26 |
|        130 |     11 |        NULL |       18 |
|        130 |     13 |        NULL |       10 |
|        130 |     14 |        NULL |       12 |
|        130 |     16 |        NULL |       17 |
|        130 |     17 |        NULL |       11 |
|        130 |     18 |        NULL |        5 |
|        130 |     21 |        NULL |        1 |
|        130 |     22 |        NULL |        6 |
|        130 |     24 |        NULL |       14 |
|        130 |     32 |        NULL |       15 |
|        130 |     35 |        NULL |       16 |
|        130 |     36 |        NULL |        2 |
|        130 |     38 |        NULL |       20 |
|        130 |     43 |        NULL |       13 |
|        130 |     44 |        NULL |       22 |
|        130 |     47 |        NULL |        3 |
|        130 |     49 |        NULL |       29 |
|        130 |     57 |        NULL |       25 |
|        130 |     82 |        NULL |       30 |
|        130 |     89 |        NULL |        8 |
|        130 |     98 |        NULL |       28 |
|        130 |    114 |        NULL |       31 |
|        130 |    116 |        NULL |       24 |
|        130 |    139 |        NULL |       21 |
