+---------------+-----------------------------------------------------------------------------------+--------+-------+
| tournament_id | name                                                                              | region | major |
|          3120 | ZOTAC Cup North America #17                                                       | NULL   | 0     |
|          3121 | ZOTAC Cup North America #18                                                       | NULL   | 0     |
|          3122 | ZOTAC Cup North America #19                                                       | NULL   | 0     |
|          3123 | ZOTAC Cup North America #20                                                       | NULL   | 0     |
|          3124 | ZOTAC Cup North America #21                                                       | NULL   | 0     |
|          3125 | ZOTAC Cup North America #22                                                       | NULL   | 0     |
|          3126 | ZOTAC Cup North America #23                                                       | NULL   | 0     |
|          3127 | ZOTAC Cup North America #24                                                       | NULL   | 0     |
|          3128 | ZOTAC Cup North America #25                                                       | NULL   | 0     |
|          3129 | ZOTAC Cup North America #26                                                       | NULL   | 0     |
|          3130 | ZOTAC Cup North America #27                                                       | NULL   | 0     |
|          3131 | ZOTAC Cup North America #28                                                       | NULL   | 0     |
|          3132 | ZOTAC Cup North America #29                                                       | NULL   | 0     |
|          3133 | ZOTAC Cup Monthly Final 2011 July                                                 | NULL   | 0     |
|          3134 | ZOTAC Cup Monthly Final 2011 August                                               | NULL   | 0     |
|          3135 | ZOTAC Cup Monthly Final 2011 September                                            | NULL   | 0     |
|          3136 | ZOTAC Cup Monthly Final 2011 October                                              | NULL   | 0     |
|          3137 | ZOTAC Cup Monthly Final 2011 December                                             | NULL   | 0     |
|          3139 | ZOTAC Cup Monthly Final 2012 January                                              | NULL   | 0     |
|          3140 | ZOTAC Cup Monthly Final 2012 February                                             | NULL   | 0     |
|          3141 | ZOTAC Cup Monthly Final 2012 March                                                | NULL   | 0     |
|          3142 | ZOTAC Cup Monthly Final 2012 April                                                | NULL   | 0     |
|          3143 | ZOTAC Cup Monthly Final 2012 May                                                  | NULL   | 0     |
|          3144 | ZOTAC Cup Monthly Final 2012 July                                                 | NULL   | 0     |
|          3145 | ZOTAC Cup Monthly Final 2012 June                                                 | NULL   | 0     |
|          3146 | ZOTAC Cup Monthly Final 2012 August                                               | NULL   | 0     |
|          3147 | ZOTAC Cup Monthly Final 2012 September                                            | NULL   | 0     |
|          3148 | ZOTAC Cup Monthly Final 2012 November                                             | NULL   | 0     |
|          3149 | ZOTAC Cup Monthly Final 2012 December                                             | NULL   | 0     |
|          3150 | ZOTAC Cup North America #33                                                       | NULL   | 0     |
|          3151 | ZOTAC Cup North America #34                                                       | NULL   | 0     |
|          3152 | ZOTAC Cup North America #35                                                       | NULL   | 0     |
|          3153 | ZOTAC Cup North America #36                                                       | NULL   | 0     |
|          3154 | ZOTAC Cup North America #37                                                       | NULL   | 0     |
|          3155 | ZOTAC Cup North America #38                                                       | NULL   | 0     |
|          3156 | ZOTAC Cup North America #39                                                       | NULL   | 0     |
|          3157 | ZOTAC Cup North America #40                                                       | NULL   | 0     |
|          3158 | ZOTAC Cup North America #41                                                       | NULL   | 0     |
|          3159 | ZOTAC Cup North America #42                                                       | NULL   | 0     |
|          3160 | ZOTAC Cup North America #43                                                       | NULL   | 0     |
|          3161 | ZOTAC Cup North America #44                                                       | NULL   | 0     |
|          3162 | ZOTAC Cup North America #45                                                       | NULL   | 0     |
|          3163 | ZOTAC Cup North America #46                                                       | NULL   | 0     |
|          3164 | ZOTAC Cup North America #47                                                       | NULL   | 0     |
|          3165 | ZOTAC Cup North America #48                                                       | NULL   | 0     |
|          3166 | ZOTAC Cup North America #49                                                       | NULL   | 0     |
|          3167 | ZOTAC Cup North America #50                                                       | NULL   | 0     |
|          3168 | ZOTAC Cup North America #51                                                       | NULL   | 0     |
|          3169 | ZOTAC Cup North America #52                                                       | NULL   | 0     |
|          3170 | ZOTAC Cup North America #53                                                       | NULL   | 0     |
|          3171 | ZOTAC Cup North America #54                                                       | NULL   | 0     |
|          3172 | ZOTAC Cup North America #55                                                       | NULL   | 0     |
|          3173 | ZOTAC Cup North America #56                                                       | NULL   | 0     |
|          3174 | ZOTAC Cup North America #57                                                       | NULL   | 0     |
|          3175 | ZOTAC Cup North America #58                                                       | NULL   | 0     |
|          3176 | ZOTAC Cup North America #59                                                       | NULL   | 0     |
|          3177 | ZOTAC Cup North America #60                                                       | NULL   | 0     |
|          3178 | ZOTAC Cup North America #61                                                       | NULL   | 0     |
|          3179 | ZOTAC Cup North America #62                                                       | NULL   | 0     |
|          3180 | ZOTAC Cup North America #63                                                       | NULL   | 0     |
