+--------+------+------------+------------+
| player | team | start_date | end_date   |
|     84 |    1 | 2012-07-13 | 2013-06-05 |
|     84 |   64 | 2013-06-05 | NULL       |
|     85 |   47 | 2011-01-01 | 2012-11-03 |
|     85 |   35 | 2012-11-17 | 2013-05-17 |
|     86 |   47 | 2011-02-08 | 2012-10-17 |
|     86 |   35 | 2013-01-15 | NULL       |
|     87 |   47 | 2010-11-30 | 2012-01-16 |
|     87 |   46 | 2012-01-18 | 2012-07-22 |
|     87 |   64 | 2012-08-02 | 2012-12-04 |
|     87 |    1 | 2013-01-07 | NULL       |
|     88 |   59 | 2010-12-12 | 2011-06-23 |
|     88 |   31 | 2011-09-18 | 2012-08-24 |
|     88 |   32 | 2012-08-25 | NULL       |
|     89 |   25 | 2010-04-22 | 2010-05-11 |
|     89 |   68 | 2010-08-08 | 2010-10-29 |
|     89 |   30 | 2010-11-28 | 2011-01-20 |
|     89 |   33 | 2011-01-20 | 2011-09-21 |
|     89 |   38 | 2011-09-21 | 2011-12-08 |
|     89 |   64 | 2011-12-08 | 2012-07-30 |
|     89 |  147 | 2013-04-12 | NULL       |
|     90 |   16 | 2010-10-20 | 2012-11-26 |
|     90 |   40 | 2012-12-10 | NULL       |
|     91 |    7 | 2011-02-24 | 2013-07-07 |
|     92 |   81 | 2010-05-10 | 2012-05-15 |
|     92 |  112 | 2012-10-06 | 2012-10-25 |
|     92 |   17 | 2012-12-27 | 2013-07-31 |
|     93 |   17 | 2010-03-30 | 2010-09-05 |
|     93 |   81 | 2010-09-08 | 2012-02-01 |
|     93 |   38 | 2012-02-17 | 2012-06-19 |
|     94 |   81 | 2010-06-07 | 2012-05-15 |
|     94 |   34 | 2012-06-28 | 2013-01-16 |
|     95 |   30 | 2011-03-31 | NULL       |
|     96 |    3 | 2011-03-04 | 2012-02-08 |
|     96 |   45 | 2012-05-01 | 2013-03-17 |
|     96 |   20 | 2013-03-26 | NULL       |
|     97 |   31 | 2011-06-10 | NULL       |
|     98 |   47 | 2011-02-05 | 2012-11-03 |
|     98 |   39 | 2013-01-27 | 2013-09-23 |
|     99 |   13 | 2000-09-21 | NULL       |
|    101 |   55 | 2010-09-14 | 2012-11-02 |
|    102 |  103 | 2010-12-17 | 2012-03-03 |
|    102 |    5 | 2012-03-03 | 2013-04-09 |
|    102 |  146 | 2013-04-09 | NULL       |
|    103 |   75 | 2011-03-11 | 2011-09-06 |
|    103 |   26 | 2011-09-06 | 2012-06-02 |
|    103 |  148 | 2013-04-13 | NULL       |
|    105 |    7 | 2011-03-17 | NULL       |
|    106 |   16 | 2011-03-13 | 2012-01-18 |
|    106 |   34 | 2012-02-01 | 2013-02-11 |
|    106 |   40 | 2013-03-28 | NULL       |
|    107 |   79 | 2011-09-22 | 2012-07-24 |
|    107 |   40 | 2012-07-25 | NULL       |
|    108 |   21 | 2011-03-28 | 2011-10-27 |
|    108 |   19 | 2011-10-27 | 2013-08-14 |
|    109 |    7 | 2011-03-25 | NULL       |
|    110 |   15 | 2000-09-07 | NULL       |
|    111 |   36 | 2010-10-17 | 2012-12-31 |
|    111 |   18 | 2013-01-10 | NULL       |
|    112 |    7 | 2011-06-07 | NULL       |
|    113 |   16 | 2010-10-27 | 2011-11-28 |
|    113 |   38 | 2012-02-19 | 2012-09-05 |
|    113 |    7 | 2012-09-12 | NULL       |
|    114 |    1 | 2011-02-25 | NULL       |
|    115 |  146 | 2011-04-11 | 2011-12-30 |
|    115 |    5 | 2012-07-15 | 2013-04-09 |
|    115 |  146 | 2013-04-09 | 2013-08-31 |
|    115 |   19 | 2013-09-01 | NULL       |
|    116 |   65 | 2011-02-19 | 2012-07-13 |
|    116 |    1 | 2012-07-13 | NULL       |
|    117 |   16 | 2010-11-09 | 2013-01-03 |
|    117 |    2 | 2013-01-26 | NULL       |
|    118 |   30 | 2011-01-10 | 2013-06-28 |
|    118 |  111 | 2013-07-10 | 2013-09-18 |
|    119 |  131 | 2010-12-11 | 2011-08-13 |
|    119 |   51 | 2012-03-08 | NULL       |
|    120 |   47 | 2011-01-10 | 2012-11-03 |
|    121 |   25 | 2010-07-05 | 2011-01-04 |
|    121 |   40 | 2011-01-04 | NULL       |
|    122 |   16 | 2010-10-09 | 2011-11-28 |
|    122 |   47 | 2011-11-28 | 2012-07-26 |
|    122 |   10 | 2012-07-26 | NULL       |
|    123 |   18 | 2010-03-29 | NULL       |
|    124 |   47 | 2010-12-18 | 2012-08-15 |
|    124 |   12 | 2012-08-16 | NULL       |
|    125 |   12 | 2000-07-24 | NULL       |
|    126 |   16 | 2011-01-05 | 2011-07-20 |
|    126 |   40 | 2011-07-20 | 2013-03-15 |
|    127 |   37 | 2011-06-15 | 2013-02-02 |
|    127 |   64 | 2013-02-02 | NULL       |
|    128 |   68 | 2010-06-26 | 2011-07-26 |
|    128 |   64 | 2011-10-07 | 2012-12-04 |
|    128 |   34 | 2013-03-03 | NULL       |
|    129 |   19 | 2010-06-17 | 2010-09-25 |
|    129 |   18 | 2010-09-25 | 2011-08-16 |
|    129 |   40 | 2011-08-16 | NULL       |
|    130 |   48 | 2012-08-30 | NULL       |
|    131 |   31 | 2010-12-09 | 2011-07-31 |
|    131 |  103 | 2011-07-31 | 2012-03-03 |
|    131 |    5 | 2012-03-03 | 2012-07-11 |
|    131 |   30 | 2012-07-11 | 2013-07-16 |
|    132 |    3 | 2010-11-03 | 2012-07-12 |
|    132 |    3 | 2013-06-23 | NULL       |
|    133 |    1 | 2010-10-08 | 2013-08-27 |
|    135 |   87 | 2011-12-13 | 2012-08-08 |
|    135 |   27 | 2012-09-01 | 2013-04-23 |
|    136 |    3 | 2010-11-30 | 2011-11-17 |
|    136 |   78 | 2012-01-15 | 2012-03-23 |
|    137 |   13 | 2000-07-12 | NULL       |
|    139 |   22 | 2011-05-07 | 2012-05-09 |
|    139 |   40 | 2012-05-18 | NULL       |
|    140 |   25 | 2010-06-30 | 2010-11-12 |
|    140 |   34 | 2011-05-08 | NULL       |
|    141 |   81 | 2010-05-04 | 2012-05-15 |
|    141 |  112 | 2012-10-06 | 2012-10-25 |
|    141 |   17 | 2012-12-27 | 2013-07-31 |
|    142 |   35 | 2010-12-19 | NULL       |
|    142 |   47 | 2011-09-24 | 2012-07-17 |
|    143 |   88 | 2010-12-03 | 2011-07-18 |
|    143 |    4 | 2011-07-18 | NULL       |
|    144 |   44 | 2010-07-25 | NULL       |
|    145 |  116 | 2011-06-13 | 2011-08-02 |
|    145 |   41 | 2011-08-02 | NULL       |
|    146 |  110 | 2012-04-11 | 2012-11-06 |
|    146 |   33 | 2013-05-17 | NULL       |
|    147 |   77 | 2011-08-11 | 2012-02-17 |
|    147 |   91 | 2012-04-01 | 2012-05-12 |
|    148 |   99 | 2012-09-13 | 2012-11-12 |
|    148 |   48 | 2012-11-20 | NULL       |
|    149 |   39 | 2010-03-26 | 2010-12-11 |
|    149 |  131 | 2010-12-11 | 2011-07-21 |
|    149 |   18 | 2011-07-28 | NULL       |
|    150 |   21 | 2011-06-03 | 2011-09-15 |
|    150 |   22 | 2011-09-15 | 2012-07-22 |
|    151 |   22 | 2010-03-24 | 2012-06-27 |
|    151 |  112 | 2012-10-06 | 2012-11-18 |
|    151 |   20 | 2013-01-25 | NULL       |
|    152 |   25 | 2010-07-24 | 2013-01-15 |
|    153 |   85 | 2009-09-20 | 2011-11-23 |
|    153 |   30 | 2011-11-23 | 2012-03-02 |
|    153 |   91 | 2012-03-09 | 2012-12-12 |
|    153 |   48 | 2013-01-05 | NULL       |
|    154 |    9 | 2010-03-21 | NULL       |
|    155 |    9 | 2000-05-12 | 2010-09-07 |
|    155 |   40 | 2010-09-07 | 2013-05-09 |
|    156 |   34 | 2010-04-02 | 2011-08-23 |
|    156 |    2 | 2011-08-23 | NULL       |
|    157 |    3 | 2010-11-05 | 2013-02-17 |
|    158 |   28 | 2012-07-02 | 2013-06-20 |
|    159 |   27 | 2010-12-25 | NULL       |
|    160 |  116 | 2011-05-23 | 2011-08-02 |
|    160 |   41 | 2011-08-02 | NULL       |
|    161 |  162 | 2013-08-05 | NULL       |
|    162 |   24 | 2010-12-11 | 2013-02-09 |
|    163 |   24 | 2010-11-11 | NULL       |
